schoolname,state,countgroup,localegroup,bodyparts,prohibited
Monroe-Woodbury High School,NY,1500+,suburb,"[""midriff""]",none
Lovell High School,WY,200-499,rural,[null],
Sauk Prairie High,WI,500-999,town,[null],
Baraboo High,WI,500-999,town,"[""chest"",""buttocks"",""midriff""]",female
Dexter High,MO,500-999,town,[null],
Perry Central High School,MS,200-499,rural,[null],
Ketchum High School,OK,200-499,rural,[null],
Leominster High School,MA,1500+,suburb,"[""midriff""]",none
Madras High School,OR,500-999,town,"[""chest"",""buttocks"",""cleavage"",""midriff""]",none
Christiansburg High,VA,1000-1500,city,"[""back"",""chest"",""midriff""]",none
Lebanon High School,OR,1000-1500,town,[null],
Miller Place High School,NY,500-999,suburb,"[""midriff""]",none
Lehigh Senior High School,FL,1500+,suburb,"[""midriff""]",none
Sutton High School,MA,200-499,rural,"[""chest"",""midriff""]",none
"Spaulding Uhsd #41",VT,500-999,town,"[""back"",""buttocks"",""cleavage"",""midriff""]",none
Tipton High School,IA,200-499,town,[null],
Big Piney High School,WY,< 200,rural,"[""midriff""]",none
Irondequoit High School,NY,1000-1500,suburb,[null],
Clearwater High,MO,200-499,rural,"[""back"",""midriff""]",none
Hilldale High School,OK,500-999,town,"[""midriff""]",none
Alvarado High School,TX,1000-1500,town,"[""midriff""]",none
Sayre High School,OK,< 200,town,"[""chest"",""midriff""]",none
Chase High,KS,< 200,rural,[null],
Plainwell High School,MI,500-999,town,"[""cleavage"",""midriff""]",none
Cimarron High School,OK,< 200,rural,"[""back"",""midriff""]",none
Centralia High,MO,200-499,town,"[""torso""]",none
Guymon High School,OK,500-999,town,"[""back"",""chest"",""midriff""]",none
Hamilton High School,AZ,1500+,suburb,"[""buttocks"",""midriff""]",none
Battle Creek-Ida Grove Senior High School,IA,200-499,rural,"[""torso""]",none
Palacios High School,TX,200-499,rural,"[""back"",""midriff""]",none
Lyons Senior High School,NY,200-499,town,[null],
Pentucket Regional Sr High,MA,500-999,suburb,"[""buttocks"",""cleavage"",""midriff""]",none
Grantsburg High,WI,200-499,rural,"[""midriff""]",none
Unionville-Sebewaing High School,MI,200-499,rural,"[""back"",""midriff""]",none
Danvers High,MA,1000-1500,suburb,"[""midriff""]",none
Ignacio High School,CO,200-499,rural,"[""midriff""]",none
Binghamton High School,NY,1500+,city,[null],
George Mason High,VA,500-999,suburb,[null],
Omro High,WI,200-499,rural,"[""buttocks"",""cleavage"",""midriff""]",none
Nashoba Regional,MA,1000-1500,rural,[null],
Pierce County High School,GA,1000-1500,rural,"[""back"",""cleavage"",""midriff""]",female
South Albany High School,OR,1000-1500,city,"[""midriff""]",none
Connally High School,TX,500-999,suburb,"[""cleavage"",""midriff""]",none
Middle Creek High,NC,1500+,suburb,"[""cleavage"",""midriff""]",none
Mountain View High School,WY,200-499,rural,"[""torso""]",none
Fontana A. B. Miller High,CA,1500+,suburb,"[""chest"",""midriff""]",female
Texas High School,TX,1500+,city,"[""midriff""]",none
Moore High School,OK,1500+,suburb,"[""chest"",""midriff"",""torso""]",none
Chanhassen High School,MN,1500+,suburb,[null],
Clear Brook High School,TX,1500+,suburb,"[""midriff""]",none
Sleepy Hollow High School,NY,500-999,suburb,[null],
Douglas High School,MA,200-499,suburb,"[""midriff""]",none
Walpole High,MA,1000-1500,suburb,[null],
Memorial High School,OK,1500+,suburb,"[""cleavage"",""midriff""]",none
East Hampton High School,NY,500-999,rural,[null],
Warrenton High School,OR,200-499,rural,"[""midriff"",""torso""]",none
Irvine High,CA,1500+,city,"[""midriff"",""torso""]",none
Hilliard Bradley High School,OH,1500+,rural,"[""midriff""]",none
Aps Online School,CO,< 200,city,"[""chest"",""buttocks"",""midriff""]",none
Medford High,MA,1000-1500,suburb,[null],
Senior High School,OK,< 200,rural,"[""midriff""]",none
Onteora High School,NY,200-499,rural,[null],
